%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
2010  5   9  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  78.42  -3.90 100.00 0.0000 187.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  10  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  70.06  -2.80 100.00 0.0000 326.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  11  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  68.13  -1.70 100.00 0.0000 424.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  12  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  70.83  -0.60 100.00 0.0000 467.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  13  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  67.42   0.00 100.00 0.0000 453.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  14  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  67.95   0.00 100.00 0.0000 381.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  15  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.94  72.75  -0.60 100.00 0.0000 262.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  16  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.71  71.44  -1.10 100.00 0.0000 115.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  17  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  75.06  -1.70 100.00 0.0000   7.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  18  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  78.81  -2.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  19  0 -999.00 -999.00 -999.00 -999.00 -999.00   5.81  76.82  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  20  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.94  81.49  -2.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  21  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  81.06  -2.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  22  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  80.96  -2.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5  23  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.94  80.83  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  6   0  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  80.72  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  6   1  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  81.00  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  6   2  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  81.46  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  6   3  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  82.01  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  6   4  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.71  82.95  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
