Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2010	 22	  23	 55	 21.9965	  4.2889	  0.0000	    2.7355	  2.4606	  0.0000	  4.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  0.0917	  6.7000	 10.0000	   4.0001	   1.0001	   1.6001	  0.3000	  0.2000	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1972	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 23	  23	 55	 22.9965	  6.8730	  0.0000	    0.1514	  1.9988	  0.0000	  5.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.8000	  5.0000	 10.5000	   4.0001	   1.0001	   1.6001	  0.3000	  0.2000	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1972	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 24	  23	 55	 23.9965	  3.6273	  0.3810	    3.7781	  2.3547	  0.0000	  6.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.2000	  8.9000	  8.9167	   4.0001	   1.0001	   1.6001	  0.3000	  0.2000	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1972	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 25	  23	 55	 24.9965	  0.0000	  2.7052	    9.7296	  3.8296	 21.5800	  0.0000	   3.4500	   3.4500	   3.4500	-450.0000	-450.0000	-450.0000	  7.2000	 11.7000	  7.5000	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 26	  23	 55	 25.9965	  2.4271	  0.0480	    4.6453	  3.9928	  0.2500	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  1.7417	  8.9000	 10.5000	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 27	  23	 55	 26.9965	  5.5402	  0.0000	    1.4842	  3.4911	  0.0000	  1.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -0.6000	  5.0000	 10.5833	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 28	  23	 55	 27.9965	  6.6959	  0.0000	    0.3285	  2.8585	  2.0300	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -6.6500	  6.1000	  8.6667	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 29	  23	 55	 28.9965	 13.7199	  0.0000	   -6.6955	  0.9477	  0.0000	  1.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -8.3000	 -3.9000	 10.5833	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 30	  23	 55	 29.9965	 15.1399	  0.0000	   -8.1155	 -0.8649	  0.0000	  2.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	-10.0000	 -7.2000	  9.4167	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 31	  23	 55	 30.9965	 11.9739	  0.0000	   -4.9495	 -1.6818	  0.0000	  3.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -9.4000	 -1.7000	 10.6667	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
